Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835
Angola,AGO,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491
Albania,ALB,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252
Andorra,AND,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139
Arab World,ARB,53.78700138,52.65227869,53.29726985,54.05382189,52.58360285,60.40681347,58.7649047,58.6892586
United Arab Emirates,ARE,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348,40.91750982
Argentina,ARG,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403,13.31183395
Armenia,ARM,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834
American Samoa,ASM,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024
Antigua and Barbuda,ATG,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285
Australia,AUS,10.6188794,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508924,8.550324401
Austria,AUT,15.14913995,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605,12.47796673
Azerbaijan,AZE,23.0476012,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664,19.92866362
Burundi,BDI,38.38116825,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349,38.89626795
Belgium,BEL,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847
Benin,BEN,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876
Burkina Faso,BFA,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251
Bangladesh,BGD,70.76499566,70.2105489,70.79390882,65.64508289,68.3953774,66.96574924,60.12627467,60.84578458
Bulgaria,BGR,22.75619549,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303,19.14913234
Bahrain,BHR,65.63088097,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236,70.81620768
"Bahamas, The",BHS,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049
Bosnia and Herzegovina,BIH,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896
Belarus,BLR,23.31940958,22.91114578,21.64637226,20.59045954,19.76605366,20.07627636,18.87823952,18.76557991
Belize,BLZ,28.2730542,28.80044628,27.40912213,27.28443966,24.42114809,25.21682566,23.06568424,23.01189211
Bermuda,BMU,14.64738151,14.84311292,13.97908263,13.47885095,12.80641477,12.41796108,11.65994362,11.64635919
Bolivia,BOL,29.5728099,27.90420439,26.39024388,26.09046897,24.81882932,22.47639992,21.3866041,21.5689866
Brazil,BRA,15.95528506,15.91279799,15.28545576,14.60990092,13.98993477,13.59465562,12.65867601,12.70662947
Barbados,BRB,28.21681441,29.30348967,27.03352956,26.23023054,25.18301447,24.68624082,23.45919984,23.0801758
Brunei Darussalam,BRN,7.417004403,7.366187122,7.570822949,6.709489683,6.180830115,6.484179774,5.927600072,5.903065468
Bhutan,BTN,43.96188317,43.07170329,42.93227289,41.88190701,40.83967373,39.81863873,37.22436394,37.9265032
Botswana,BWA,25.72472072,24.59211459,24.85403894,24.87425931,24.15127779,24.33025796,23.63126742,23.09438618
Central African Republic,CAF,51.53331961,51.22953137,53.35883384,50.87491368,49.35636376,58.32609851,56.98542248,56.82849738
Canada,CAN,8.384457262,8.62446106,8.107410495,7.791636125,7.428419864,7.151582145,6.549074761,6.428383133
Central Europe and the Baltics,CEB,21.98802866,21.90983004,20.20362489,19.22537578,18.60919623,18.99410846,17.64108568,17.63332812
Switzerland,CHE,12.92221973,13.04922122,12.26138801,11.82005499,11.38910719,11.16525468,10.34263047,10.3031001
Chile,CHL,25.89229169,27.24586707,25.0471553,23.9366936,22.86825181,22.56979255,20.87687041,21.03629906
China,CHN,69.47957041,70.54202883,63.82701684,65.51455022,59.76736751,59.06342246,52.21132204,52.66459583
Cote d'Ivoire,CIV,21.617705,22.59307255,22.49440447,21.30554316,20.90017764,27.68749396,26.67470411,25.88626634
Cameroon,CMR,59.29340315,58.07690148,62.776697,58.18633815,56.71530558,77.05174298,73.20529127,72.79309622
"Congo, Dem. Rep.",COD,41.39803933,41.49328795,43.03677157,44.49576095,42.5494471,44.93118592,45.49950018,44.9092636
"Congo, Rep.",COG,42.00909211,44.15559345,43.48998719,46.12663732,45.85281627,44.14769514,45.7110424,46.63822028
Colombia,COL,21.49784542,21.36777875,20.53663622,19.22334802,18.34420526,17.30028428,16.58060037,16.52721022
Comoros,COM,20.66635788,21.02016044,21.2526292,21.04796184,21.50207199,20.71555746,20.48272773,20.5468246
Cabo Verde,CPV,27.59644067,31.64177817,32.94099303,32.08584342,31.62108111,38.63361366,33.39233075,34.7787001
Costa Rica,CRI,19.27295272,19.70213293,19.33512768,18.34151711,17.54363411,16.87928994,15.65581227,15.7259203
Caribbean small states,CSS,22.88005336,23.60446581,22.17649531,21.45641474,19.96653424,20.0873846,19.10237782,19.00983013
Cuba,CUB,23.93329773,24.78731963,23.23978714,22.85074328,21.29623433,20.86409957,19.73784135,19.7060474
Cyprus,CYP,20.08186599,20.09096399,19.22484321,18.68454574,18.29352737,19.10134763,16.9580216,17.2944062
Czech Republic,CZE,20.67687047,20.08124665,18.74317608,17.996287,17.39121549,17.41645169,16.1005837,16.07124535
Germany,DEU,15.18949496,14.66422844,13.57764226,13.19191946,12.75122057,12.82609758,11.93781112,12.02876736
Djibouti,DJI,38.24086927,40.44183546,39.94282079,40.10377303,41.25972754,45.95080851,45.86887513,45.5496176
Dominica,DMA,23.74074619,24.27612298,22.21579925,22.15106827,21.01030747,20.68878863,19.98814835,19.49315376
Denmark,DNK,11.92914817,12.66233138,11.11552501,10.82027884,11.06670453,10.65728566,10.09597196,10.02965344
Dominican Republic,DOM,16.87446546,17.29977986,16.15283991,15.39695063,14.1880737,14.85822076,13.69022772,13.72632115
Algeria,DZA,33.63582026,33.83404774,33.3668262,34.24532791,35.56391718,36.08916357,39.85327385,38.8840107
East Asia & Pacific (excluding high income),EAP,55.8449762,56.38466186,51.64048658,52.44074727,48.12064176,47.37309717,42.29950659,42.53946794
Early-demographic dividend,EAR,64.28431299,64.85108991,60.37496625,61.39517368,59.99596877,60.61444067,59.87018031,60.35929045
East Asia & Pacific,EAS,51.9120112,52.41693271,48.05672835,48.82717052,44.84952702,44.21893188,39.52054218,39.74995754
Europe & Central Asia (excluding high income),ECA,26.60138686,26.37682055,25.52119615,25.09961473,24.27557194,25.40680953,24.31862265,24.43393927
Europe & Central Asia,ECS,20.58259725,20.5751036,19.50011895,19.07915982,18.39049124,18.99890934,18.00777789,18.08195597
